city,鄉鎮市區,房型,買賣中位(萬/坪),月租中位(元/坪),PRR(年),租金收益率%,n_sale,n_rent
台北市,南港區,華廈,81.1,909.0,74.3,1.35,831,77
新北市,三峽區,大樓,42.9,496.0,72.2,1.39,2408,717
新北市,蘆洲區,透天,63.2,787.0,66.9,1.49,34,20
台北市,南港區,大樓,88.4,1147.0,64.2,1.56,1677,99
台北市,北投區,透天,66.2,873.0,63.3,1.58,137,40
台北市,內湖區,華廈,74.3,979.0,63.3,1.58,1817,302
新北市,新店區,大樓,59.8,793.0,62.8,1.59,7487,802
台北市,大安區,大樓,115.6,1540.0,62.5,1.6,3003,399
台北市,大安區,公寓,85.5,1144.0,62.3,1.61,1037,341
新北市,新莊區,透天,57.9,780.0,61.8,1.62,108,21
新北市,永和區,透天,82.4,1124.0,61.1,1.64,72,20
台北市,信義區,華廈,85.1,1167.0,60.8,1.64,1004,179
新北市,板橋區,透天,67.4,932.0,60.2,1.66,279,50
新北市,中和區,透天,69.4,965.0,59.9,1.67,157,35
台北市,內湖區,大樓,80.9,1142.0,59.0,1.69,2452,276
台北市,大安區,華廈,101.8,1448.0,58.6,1.71,1852,313
台北市,松山區,公寓,75.4,1071.0,58.6,1.71,962,329
新北市,永和區,大樓,62.6,896.0,58.2,1.72,2396,249
新北市,深坑區,大樓,36.3,522.0,57.9,1.73,161,18
新北市,蘆洲區,大樓,52.5,757.0,57.8,1.73,1681,299
台北市,中正區,華廈,91.7,1326.0,57.7,1.73,866,158
新北市,永和區,華廈,57.4,830.0,57.7,1.73,692,157
台北市,松山區,華廈,86.8,1266.0,57.1,1.75,1011,157
新北市,樹林區,大樓,42.2,615.0,57.1,1.75,1770,412
新北市,五股區,大樓,40.9,598.0,56.9,1.76,3919,387
新北市,中和區,大樓,56.2,826.0,56.6,1.77,8223,760
台北市,士林區,透天,92.1,1362.0,56.3,1.77,165,53
新北市,板橋區,華廈,50.3,749.0,56.0,1.79,1051,268
台北市,信義區,公寓,69.3,1031.0,56.0,1.79,1529,805
