city,鄉鎮市區,房型,season,price_pp,rent_pp,prr,skey
台北市,中山區,公寓,111S1,62.0,,,1111
台北市,中山區,公寓,111S2,63.0,,,1112
台北市,中山區,公寓,111S3,63.7,,,1113
台北市,中山區,公寓,111S4,63.7,,,1114
台北市,中山區,公寓,112S1,62.7,,,1121
台北市,中山區,公寓,112S2,62.0,,,1122
台北市,中山區,公寓,112S3,64.5,,,1123
台北市,中山區,公寓,112S4,70.8,988.0,59.7,1124
台北市,中山區,公寓,113S1,66.6,995.0,55.8,1131
台北市,中山區,公寓,113S2,70.1,1089.0,53.6,1132
台北市,中山區,公寓,113S3,71.8,1008.0,59.4,1133
台北市,中山區,公寓,113S4,71.2,1074.0,55.2,1134
台北市,中山區,公寓,114S1,73.1,1031.0,59.1,1141
台北市,中山區,公寓,114S2,70.4,1063.0,55.2,1142
台北市,中山區,公寓,114S3,71.8,1048.0,57.1,1143
台北市,中山區,公寓,114S4,70.4,1071.0,54.8,1144
台北市,中山區,公寓,115S1,70.0,1051.0,55.5,1151
台北市,中山區,大樓,111S1,87.4,,,1111
台北市,中山區,大樓,111S2,88.0,,,1112
台北市,中山區,大樓,111S3,83.5,,,1113
台北市,中山區,大樓,111S4,88.8,,,1114
台北市,中山區,大樓,112S1,84.0,,,1121
台北市,中山區,大樓,112S2,80.8,,,1122
台北市,中山區,大樓,112S3,77.3,,,1123
台北市,中山區,大樓,112S4,85.9,1825.0,39.2,1124
台北市,中山區,大樓,113S1,86.4,1752.0,41.1,1131
台北市,中山區,大樓,113S2,88.3,1739.0,42.3,1132
台北市,中山區,大樓,113S3,91.9,1858.0,41.2,1133
台北市,中山區,大樓,113S4,95.2,1820.0,43.6,1134
台北市,中山區,大樓,114S1,95.0,1841.0,43.0,1141
台北市,中山區,大樓,114S2,95.3,1934.0,41.1,1142
台北市,中山區,大樓,114S3,93.5,1762.0,44.2,1143
台北市,中山區,大樓,114S4,107.0,1779.0,50.1,1144
台北市,中山區,大樓,115S1,89.8,1765.0,42.4,1151
台北市,中山區,華廈,111S1,68.0,,,1111
台北市,中山區,華廈,111S2,74.1,,,1112
台北市,中山區,華廈,111S3,71.2,,,1113
台北市,中山區,華廈,111S4,71.6,,,1114
台北市,中山區,華廈,112S1,72.1,,,1121
台北市,中山區,華廈,112S2,70.0,,,1122
台北市,中山區,華廈,112S3,70.3,,,1123
台北市,中山區,華廈,112S4,75.9,1527.0,41.4,1124
台北市,中山區,華廈,113S1,75.8,1620.0,39.0,1131
台北市,中山區,華廈,113S2,74.8,1579.0,39.5,1132
台北市,中山區,華廈,113S3,79.8,1469.0,45.3,1133
台北市,中山區,華廈,113S4,84.7,1369.0,51.6,1134
台北市,中山區,華廈,114S1,79.9,1605.0,41.5,1141
台北市,中山區,華廈,114S2,81.8,1663.0,41.0,1142
台北市,中山區,華廈,114S3,81.7,1641.0,41.5,1143
台北市,中山區,華廈,114S4,82.2,1605.0,42.7,1144
台北市,中山區,華廈,115S1,81.6,1398.0,48.6,1151
台北市,中正區,公寓,111S1,70.3,,,1111
台北市,中正區,公寓,111S2,73.7,,,1112
台北市,中正區,公寓,111S3,66.6,,,1113
台北市,中正區,公寓,111S4,69.2,,,1114
台北市,中正區,公寓,112S1,75.1,,,1121
台北市,中正區,公寓,112S2,69.5,,,1122
台北市,中正區,公寓,112S3,78.8,,,1123
台北市,中正區,公寓,112S4,73.3,977.0,62.5,1124
台北市,中正區,公寓,113S1,68.9,1316.0,43.6,1131
台北市,中正區,公寓,113S2,75.1,1233.0,50.8,1132
台北市,中正區,公寓,113S3,74.0,1149.0,53.7,1133
台北市,中正區,公寓,113S4,77.7,1107.0,58.5,1134
台北市,中正區,公寓,114S1,79.3,1028.0,64.3,1141
台北市,中正區,公寓,114S2,83.4,1157.0,60.1,1142
